Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
14;1001754;Форма банка (без печати работодателя);Ремонт;0;0.59;мужской;0;0;среднее;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001774;Форма банка (без печати работодателя);Ремонт;1;0.35;мужской;0;0;высшее;специалист;>250;0;15;27;Другое;ОАО;холост / не замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001794;2НДФЛ;Ремонт;0;0.47;женский;0;0;высшее;специалист;>250;1;216;50;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001814;2НДФЛ;Ремонт;0;0.38;женский;0;0;высшее;менеджер среднего звена;>250;0;117;45;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0.0344827586;0;0;0;0;0.3333333333;1;2;28;3;0;0;22;80;1;0;0;0;0;0;0
14;1001834;Поступление зарплаты на счет;Покупка автомобиля;0;0.14;женский;0;0;высшее;торговый представитель;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001854;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1;38;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001874;Форма банка (без печати работодателя);Ремонт;1;0.44;мужской;1;0;высшее;специалист;>250;0;12;36;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001894;Поступление зарплаты на счет;Ремонт;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;107;30;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;5;2;0;1;14;15;0;0;0;0;0;0;0
14;1001914;Свободная форма с печатью работодателя;Ремонт;1;0.47;мужской;1;0;высшее;вспомогательный персонал;< 50;0;51;28;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001934;2НДФЛ;Ремонт;1;0.26;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001954;Поступление зарплаты на счет;Ремонт;0;0.33;женский;1;0;высшее;специалист;>250;0;76;31;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001974;Форма банка (без печати работодателя);Покупка автомобиля;0;0.29;мужской;1;0;высшее;специалист;< 50;0;19;30;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001994;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;женский;3;0;высшее;менеджер среднего звена;< 50;0;7;47;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1002014;2НДФЛ;Ремонт;1;0.44;женский;0;0;высшее;менеджер среднего звена;>250;0;41;42;Торговля;ЗАО;холост / не замужем;1;0;0;0;0;0.3428571429;1;0;0;0;0.25;2;6;161;8;1;1;21;103;1;1;0;0;0;0;0
14;1002034;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.36;мужской;1;0;среднее-специальное;вспомогательный персонал;< 50;1;39;33;Другое;ООО;женат / замужем;2;2;2;2;2;0;0;1;1;0;1;1;0;3;1;0;0;2;2;0;0;0;0;0;0;0
